"pasta","wav","ingles","traducao_pt","category","emotion","urgency","token_type","assembly_mode","radio_style","speaker_role","pause_profile","intensity"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","8-a.wav","keep it between the white lines, they'll delete the lap and they'll delete the next one, too","Essa volta vai ser anulada, e a próxima também","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","8-b.wav","keep it between the white lines, they'll delete the lap and they'll delete the next one, too","Essa volta vai ser anulada, e a próxima também","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","8-c.wav","keep it between the white lines, they'll delete the lap and they'll delete the next one, too","Essa volta vai ser anulada, e a próxima também","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","7-a.wav","track limits, they'll delete the next lap as well as this one","Limite de pista, essa e a próxima volta foram anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","7-b.wav","track limits, they'll delete the next lap as well as this one","Limite de pista, essa e a próxima volta foram anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","7-c.wav","track limits, they'll delete the next lap as well as this one","Limite de pista, essa e a próxima volta foram anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","6-a.wav","come on, concentrate, keep it between the white lines, you've lost this lap and the next one","Pô, foca! Fica dentro da pista, você perdeu essa e a próxima","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","6-b.wav","come on, concentrate, keep it between the white lines, you've lost this lap and the next one","Pô, foca! Fica dentro da pista, você perdeu essa e a próxima","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","6-c.wav","come on, concentrate, keep it between the white lines, you've lost this lap and the next one","Pô, foca! Fica dentro da pista, você perdeu essa e a próxima","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","2-a.wav","track limits, they'll delete this lap and the next one","Limite de pista, essa e a próxima tão fora","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","2-b.wav","track limits, they'll delete this lap and the next one","Limite de pista, essa e a próxima tão fora","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","2-c.wav","track limits, they'll delete this lap and the next one","Limite de pista, essa e a próxima tão fora","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","5-a.wav","track limits, come on, they're gonna delete this lap and they'll delete the next one, too","Limite de pista, mano, essa volta vai ser anulada, e a próxima também","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","5-b.wav","track limits, come on, they're gonna delete this lap and they'll delete the next one, too","Limite de pista, mano, essa volta vai ser anulada, e a próxima também","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","5-c.wav","track limits, come on, they're gonna delete this lap and they'll delete the next one, too","Limite de pista, mano, essa volta vai ser anulada, e a próxima também","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","3-a.wav","you've cut the track, they're gonna delete the lap and they'll delete the next one, too","Cê cortou a pista, essa volta já era, e a próxima também vai pro saco","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","3-b.wav","you've cut the track, they're gonna delete the lap and they'll delete the next one, too","Cê cortou a pista, essa volta já era, e a próxima também vai pro saco","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","3-c.wav","you've cut the track, they're gonna delete the lap and they'll delete the next one, too","Cê cortou a pista, essa volta já era, e a próxima também vai pro saco","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","4_op_prefix_bad_luck-a.wav","you've gone out of track limits, they'll delete this lap and the one after it","Você passou do limite, essa e a seguinte vão ser anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
